sweep_group,target_value,match_id,category,exact,within_2,within_5,within_25,within_50,valid,mean_diff
BA,0.5,J03WN1,incoming,0.8705882352941177,0.8823529411764706,0.8941176470588236,0.9058823529411765,0.9411764705882353,0.9882352941176471,8.678571428571429
BA,0.5,J03WN1,minor,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8974358974358975,1.0,10.064102564102564
BA,0.5,J03WN1,event_start,0.954228855721393,0.9611940298507463,0.9641791044776119,0.9711442786069652,0.9791044776119403,0.9980099502487563,2.435692921236291
BA,0.5,J03WN1,event_end,0.8444180522565321,0.8527315914489311,0.8598574821852731,0.8954869358669834,0.9323040380047506,0.9893111638954869,7.4825090470446325
BA,0.5,J03WN1,total,0.9041689225771521,0.9117487818083378,0.9166215484569572,0.9366540335679481,0.9577693557119653,0.9940443963183541,4.681104493773687
BA,0.5,J03WPY,pass_like,0.9666666666666667,0.978494623655914,0.9795698924731183,0.9827956989247312,0.9870967741935484,0.9967741935483871,1.4606256742179071
BA,0.5,J03WPY,set_piece,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.0
BA,0.5,J03WPY,incoming,0.81,0.82,0.82,0.84,0.9,1.0,22.08
BA,0.5,J03WPY,minor,0.8571428571428571,0.873015873015873,0.873015873015873,0.9365079365079365,0.9523809523809523,1.0,5.825396825396825
BA,0.5,J03WPY,event_start,0.9467455621301775,0.9577345731191885,0.9585798816568047,0.9661876584953508,0.9754860524091293,0.9940828402366864,3.3409863945578233
BA,0.5,J03WPY,event_end,0.8450980392156863,0.8578431372549019,0.8578431372549019,0.8813725490196078,0.9225490196078432,0.9803921568627451,8.367367367367367
BA,0.5,J03WPY,total,0.899682251475261,0.911484339536995,0.9119382660009079,0.9269178393100318,0.9509759418974126,0.9877439854743532,5.577848388561053
BA,0.5,ALL,pass_like,0.9676579925650558,0.9758364312267658,0.978810408921933,0.9840148698884759,0.9895910780669145,0.9985130111524163,1.1945352643912184
BA,0.5,ALL,set_piece,0.9787234042553191,0.9787234042553191,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.014335295005281426
BA,0.5,ALL,incoming,0.8542372881355932,0.864406779661017,0.8677966101694915,0.888135593220339,0.9288135593220339,0.9966101694915255,12.093825665859564
BA,0.5,ALL,minor,0.8787878787878788,0.8831168831168831,0.8831168831168831,0.9177489177489178,0.948051948051948,1.0,6.021645021645021
BA,0.5,ALL,event_start,0.9531160663236135,0.9605488850771869,0.9634076615208691,0.9714122355631789,0.9811320754716981,0.9971412235563178,2.341802672006208
BA,0.5,ALL,event_end,0.8553162853297442,0.8640646029609691,0.8687752355316285,0.8980484522207268,0.9384253028263796,0.9875504710632571,6.898399016749945
BA,0.5,ALL,total,0.9081916537867079,0.9162287480680061,0.9199381761978361,0.9377125193199382,0.9615146831530139,0.9927357032457497,4.380216383307573
PBD,0.0,J03WMX,pass_like,0.9644619940769991,0.9684106614017769,0.9733464955577492,0.9782823297137216,0.9871668311944719,0.9990128331688055,1.3142292490118577
PBD,0.0,J03WMX,set_piece,1.0,1.0,1.0,1.0,1.0,1.0,0.0
PBD,0.0,J03WMX,incoming,0.8727272727272727,0.8727272727272727,0.8727272727272727,0.8909090909090909,0.9181818181818182,1.0,8.872727272727273
PBD,0.0,J03WMX,minor,0.7111111111111111,0.7333333333333333,0.7555555555555555,0.9111111111111111,0.9555555555555556,1.0,9.11111111111111
PBD,0.0,J03WMX,event_start,0.9419847328244275,0.9465648854961832,0.9519083969465649,0.9679389312977099,0.9801526717557252,0.999236641221374,2.3880825057295647
PBD,0.0,J03WMX,event_end,0.9063063063063063,0.9108108108108108,0.918018018018018,0.9432432432432433,0.972072072072072,0.9927927927927928,3.2618181818181817
PBD,0.0,J03WMX,total,0.9256198347107438,0.9301652892561983,0.9363636363636364,0.9566115702479339,0.9764462809917356,0.9962809917355372,2.7743801652892564
PBD,0.0,J03WN1,pass_like,0.9544846050870147,0.9625167336010709,0.963855421686747,0.9759036144578314,0.9852744310575636,1.0,2.1941097724230256
PBD,0.0,J03WN1,set_piece,0.968421052631579,0.968421052631579,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9894736842105263,0.8617021276595744
PBD,0.0,J03WN1,incoming,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8941176470588236,0.9411764705882353,0.9882352941176471,6.226190476190476
PBD,0.0,J03WN1,minor,0.717948717948718,0.7307692307692307,0.7307692307692307,0.8589743589743589,0.8717948717948718,0.9743589743589743,12.078947368421053
PBD,0.0,J03WN1,event_start,0.9283582089552239,0.9353233830845771,0.9373134328358209,0.9601990049751243,0.972139303482587,0.9960199004975124,3.157842157842158
PBD,0.0,J03WN1,event_end,0.8717339667458432,0.8812351543942993,0.8883610451306413,0.9228028503562945,0.9536817102137767,0.9893111638954869,4.875753920386007
PBD,0.0,J03WN1,total,0.9025446670276124,0.9106659447753113,0.9149972929074174,0.9431510557661072,0.9637249593936112,0.9929615592853276,3.899837574445046
PBD,0.0,J03WPY,pass_like,0.9666666666666667,0.9774193548387097,0.978494623655914,0.9806451612903225,0.986021505376344,0.9967741935483871,1.505933117583603
PBD,0.0,J03WPY,set_piece,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9555555555555556,0.813953488372093
PBD,0.0,J03WPY,incoming,0.81,0.81,0.81,0.83,0.91,1.0,18.23
PBD,0.0,J03WPY,minor,0.7301587301587301,0.746031746031746,0.746031746031746,0.8571428571428571,0.873015873015873,0.9523809523809523,11.416666666666666
PBD,0.0,J03WPY,event_start,0.9391377852916315,0.94843617920541,0.9492814877430262,0.9585798816568047,0.9704142011834319,0.9915469146238377,3.3878942881500427
PBD,0.0,J03WPY,event_end,0.9098039215686274,0.9225490196078432,0.9225490196078432,0.9362745098039216,0.9509803921568627,0.9774509803921568,3.6184738955823295
PBD,0.0,J03WPY,total,0.9255560599182933,0.9364502950522016,0.9369042215161144,0.9482523831139356,0.9614162505674081,0.9850204266908761,3.439854743531548
PBD,0.0,ALL,pass_like,0.962453531598513,0.9698884758364312,0.9724907063197026,0.9784386617100371,0.9862453531598513,0.9985130111524163,1.6248446202980529
PBD,0.0,ALL,set_piece,0.9716312056737588,0.9716312056737588,0.975177304964539,0.975177304964539,0.975177304964539,0.9822695035460993,0.5500621137629359
PBD,0.0,ALL,incoming,0.8440677966101695,0.8440677966101695,0.8440677966101695,0.8711864406779661,0.9220338983050848,0.9966101694915255,11.282122679580306
PBD,0.0,ALL,minor,0.7186147186147186,0.7359307359307359,0.7445887445887446,0.8787878787878788,0.9047619047619048,0.9783549783549783,10.742025518341308
PBD,0.0,ALL,event_start,0.9371069182389937,0.9439679817038308,0.9468267581475128,0.9625500285877644,0.9745568896512292,0.9957118353344768,2.9473694665576327
PBD,0.0,ALL,event_end,0.8977119784656796,0.9064602960969045,0.9111709286675639,0.9350605652759085,0.9596231493943472,0.9865410497981157,3.8414691642924548
PBD,0.0,ALL,total,0.9190108191653786,0.9267387944358578,0.9304482225656878,0.9499227202472952,0.9676970633693972,0.991499227202473,3.32225656877898
PBD,0.25,J03WMX,pass_like,0.9703849950641659,0.9753208292201382,0.981243830207305,0.9842053307008884,0.9911154985192497,0.9990128331688055,0.8517786561264822
PBD,0.25,J03WMX,set_piece,1.0,1.0,1.0,1.0,1.0,1.0,0.0
